,Country,# of TV Shows,,# of Movies
0,United States,1326,View list,4339
1,American Samoa,1078,,4573
2,Puerto Rico,1073,,3807
3,Martinique,803,,3736
4,Guadeloupe,769,,3731
5,French Guiana,803,,3710
6,Benin (Dahomey),462,,3171
7,Equatorial Guinea,204,,488
8,Anguilla,656,,2931
9,British Virgin Islands,666,,2940
10,Turks And Caicos Islands,696,,2899
11,Jamaica,652,,2893
12,Saint Vincent And The Grenadines,655,,2888
13,Dominica,649,,2889
14,Trinidad and Tobago,686,,2879
15,Grenada,653,,2896
16,Saint Kitts And Nevis,653,,2879
17,Antigua and Barbuda,646,,2888
18,Suriname,637,,2853
19,Dominican Republic,646,,2847
20,Haiti,636,,2829
21,Honduras,638,,2834
22,El Salvador,634,,2835
23,Nicaragua,636,,2832
24,Peru,636,,2831
25,Ecuador,634,,2836
26,Paraguay,640,,2826
27,Panama,656,,2882
28,Bahamas,647,,2687
29,Canada,629,,2942
30,Cayman Islands,663,,2924
31,Chile,561,,2470
32,Aruba,712,,3389
33,Belize,648,,2886
34,Isle Of Man,545,,2414
35,Jersey,546,,2420
36,Ireland,537,,2412
37,Guernsey,547,,2419
38,Mexico,637,,2859
39,Costa Rica,538,,2398
40,Lithuania,213,,585
41,Argentina,640,,2394
42,Bolivia,630,,2831
43,Cuba,596,,2430
44,Uruguay,641,,2830
45,Bermuda,653,,2635
46,Colombia,631,,2830
47,Venezuela,636,,2830
48,Barbados,646,,2889
49,Tanzania,483,,1927
50,Denmark,342,,1764
51,Norway,337,,1762
52,Sweden,342,,1738
53,Finland,339,,1757
54,Brazil,562,,2951
55,Greenland,331,,1668
56,Iraq,443,,1586
57,United Kingdom,542,,2425
58,Australia,445,,1599
59,Australian Antarctica,443,,1585
60,Christmas Island,436,,1480
61,Cocos (Keeling) Islands,225,,585
62,Norfolk Island,443,,1487
63,New Zealand,450,,1563
64,Luxembourg,369,,1506
65,Netherlands,372,,1408
66,France,387,,1541
67,Switzerland,431,,1726
68,Papua New Guinea,416,,1499
69,Belgium,396,,1532
70,Guatemala,356,,1444
71,Pakistan,328,,1440
72,Bangladesh,328,View list,1440
73,Greece,204,View list,581
74,Germany,350,,1435
75,Belarus,349,,1435
76,Lebanon,180,View list,453
77,Kuwait,328,View list,1440
78,Afghanistan,328,,1440
79,Tajikistan,328,,1440
80,Bahrain,328,,1440
81,Malta,241,,716
82,Brunei Darussalam,328,,1440
83,Yemen,328,,1439
84,Serbia,328,,1439
85,Azerbaijan,327,,1437
86,United Arab Emirates,173,,443
87,Qatar,178,,552
88,Andorra,329,,1462
89,Armenia,217,,1429
90,Fijian Islands,412,,1439
91,Austria,347,,1414
92,Georgia,228,,1355
93,Uzbekistan,217,,1294
94,Japan,405,,1360
95,Libya,326,,1117
96,Kazakhstan,327,,1081
97,Tunisia,327,View list,1081
98,Spain,237,,1050
99,Oman,327,,1033
100,Turkmenistan,327,,1033
101,Italy,196,,1000
102,Kyrgyzstan,327,,968
103,Iceland,183,,794
104,Guinea,199,,755
105,Iran,129,View list,653
106,Niger,199,,648
107,Sri Lanka (Ceylon),188,,521
108,Cape Verde Islands (Cabo Verde),199,,478
109,Ukraine,206,View list,576
110,Slovakia,208,View list,572
111,Macedonia,200,,560
112,Latvia,205,,581
113,Czech Republic,204,View list,570
114,Croatia,205,,568
115,Poland,211,View list,570
116,Slovenia,204,,555
117,Romania,208,View list,575
118,Moldova,217,,581
119,Estonia,204,,571
120,Bosnia and Herzegovina,201,,570
121,Hungary,204,View list,570
122,India,201,View list,554
123,Portugal,219,,543
124,Bulgaria,205,,569
125,Burundi,198,,494
126,Bhutan,205,,545
127,Cambodia (Kampuchea),186,,531
128,Mongolia,207,,529
129,Democratic Republic of Congo,199,,520
130,Russia,204,View list,533
131,Malaysia,179,View list,521
132,Philippines,180,View list,519
133,Vietnam,184,,528
134,Mauritius,230,,525
135,Turkey,194,View list,511
136,South Korea,152,View list,507
137,Republic of the Congo,199,,483
138,Nepal,206,View list,523
139,Singapore,178,View list,489
140,Cameroon,200,,484
141,Rwanda,208,,488
142,Swaziland,214,,492
